"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"134",41,72,17,79,87,73,65,72,62,65,95,84,27
"135",94,91,94,62,76,95,51,92,54,78,87,80,51
"136",65,66,59,63,65,52,67,54,76,51,56,66,45
"137",82,100,78,65,50,66,68,50,59,76,64,61,64
"138",84,95,95,NA,82,89,100,100,88,92,90,NA,51
"139",84,82,87,87,91,96,91,92,83,76,88,69,84
"140",100,100,100,97,100,100,100,100,72,100,94,77,89
"141",82,66,60,79,79,88,84,90,50,75,83,80,77
"142",62,64,74,61,75,73,82,67,59,65,66,54,69
"143",33,92,85,50,51,NA,NA,NA,NA,NA,NA,50,50
"144",84,36,89,100,100,100,99,100,97,97,100,100,81
"145",100,100,100,95,100,96,94,93,100,95,98,96,100
"146",95,100,100,95,94,100,100,100,100,100,100,74,87
